entity,entityLabel,category,property,propertyLabel,value,unit,sitelinks,dateCreated,dateModified,timestamp,continentLabel
http://www.wikidata.org/entity/Q33,Finland,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5608218,,391,,2024-12-01T10:14:25Z,2024-02-29T00:00:00Z,Europe
http://www.wikidata.org/entity/Q39,Switzerland,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,8962300,,370,,2024-12-01T11:57:29Z,2023-12-31T00:00:00Z,Europe
http://www.wikidata.org/entity/Q36,Poland,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,38036118,,382,,2024-12-01T10:14:28Z,2021-03-31T00:00:00Z,Europe
http://www.wikidata.org/entity/Q41,Greece,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,10566531,,362,,2024-12-01T10:14:35Z,2022-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q786,Dominican Republic,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,10760028,,265,,2024-11-26T09:37:03Z,2022-01-01T00:00:00Z,North America
http://www.wikidata.org/entity/Q822,Lebanon,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5261372,,318,,2024-12-01T10:28:46Z,2021-07-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q851,Saudi Arabia,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,33000000,,334,,2024-11-28T00:44:47Z,2018-01-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q878,United Arab Emirates,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,9890400,,302,,2024-11-26T14:25:24Z,2020-01-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q986,Eritrea,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,3497000,,291,,2024-12-01T10:29:17Z,2019-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q115,Ethiopia,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,128691692,,329,,2024-12-01T10:14:50Z,2023-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q398,Bahrain,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,1569666,,292,,2024-11-23T08:58:57Z,2023-01-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q657,Chad,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,19319064,,300,,2024-12-01T10:28:07Z,2023-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q962,Benin,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,14111034,,296,,2024-12-01T10:29:14Z,2023-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q1037,Rwanda,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,13246394,,284,,2024-12-01T10:29:35Z,2022-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q31,Belgium,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,11584008,,356,,2024-12-01T10:14:21Z,2022-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q668,India,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,1326093247,,387,,2024-12-01T10:28:11Z,2020-07-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q77,Uruguay,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,3444263,,309,,2024-12-01T10:14:44Z,2023-01-01T00:00:00Z,South America
http://www.wikidata.org/entity/Q222,Albania,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,2811655,,362,,2024-12-01T10:27:38Z,2023-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q811,Nicaragua,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,6217581,,270,,2024-12-01T10:28:44Z,2017-01-01T00:00:00Z,North America
http://www.wikidata.org/entity/Q756617,Kingdom of Denmark,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5930987,,49,,2024-11-24T17:15:56Z,2020-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q1005,The Gambia,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,2639916,,288,,2024-11-23T09:02:30Z,2021-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q1016,Libya,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,6678567,,323,,2024-12-01T10:29:23Z,2018-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q1029,Mozambique,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,29668834,,293,,2024-12-01T10:29:29Z,2017-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q21203,Aruba,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,106739,,194,,2024-11-28T18:52:51Z,2022-01-01T00:00:00Z,North America
http://www.wikidata.org/entity/Q145,United Kingdom,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,67326569,,374,,2024-12-01T10:27:17Z,2021-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,17100715,,101,,2024-11-26T09:27:39Z,2013-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q183,Germany,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,84358845,,391,,2024-12-01T10:27:23Z,2022-12-31T00:00:00Z,Europe
http://www.wikidata.org/entity/Q189,Iceland,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,376248,,341,,2024-12-01T10:27:26Z,2022-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q218,Romania,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,19053815,,335,,2024-12-01T10:27:35Z,2022-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q34020,Niue,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,1933,,173,,2024-11-23T09:07:53Z,2022-01-01T00:00:00Z,Insular Oceania
http://www.wikidata.org/entity/Q685,Solomon Islands,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,611343,,238,,2024-11-24T12:35:42Z,2017-01-01T00:00:00Z,Insular Oceania
http://www.wikidata.org/entity/Q685,Solomon Islands,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,611343,,238,,2024-11-24T12:35:42Z,2017-01-01T00:00:00Z,Oceania
http://www.wikidata.org/entity/Q921,Brunei,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,458949,,284,,2024-11-25T23:49:39Z,2023-01-01T00:00:00Z,Asia
http://www.wikidata.org/entity/Q971,Republic of the Congo,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,6142180,,288,,2024-11-23T09:09:25Z,2023-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,105789731,,316,,2024-11-30T12:01:06Z,2023-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q1025,Mauritania,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,4614974,,293,,2024-12-01T10:29:27Z,2021-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q37,Lithuania,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,2860002,,340,,2024-12-01T10:14:30Z,2023-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q695,Palau,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,21729,,248,,2024-11-26T17:04:21Z,2017-01-01T00:00:00Z,Insular Oceania
http://www.wikidata.org/entity/Q695,Palau,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,21729,,248,,2024-11-26T17:04:21Z,2017-01-01T00:00:00Z,Oceania
http://www.wikidata.org/entity/Q929,Central African Republic,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5152421,,287,,2024-11-23T09:01:13Z,2023-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q1008,Ivory Coast,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,31165654,,299,,2024-11-25T04:32:11Z,2023-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q1042,Seychelles,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,100447,,260,,2024-11-25T21:57:30Z,2022-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q27,Ireland,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,5149139,,310,,2024-12-01T10:14:14Z,2022-04-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,100804,,229,,2024-11-23T09:09:58Z,2023-01-01T00:00:00Z,North America
http://www.wikidata.org/entity/Q774,Guatemala,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,17263239,,275,,2024-11-23T09:02:57Z,2018-01-01T00:00:00Z,North America
http://www.wikidata.org/entity/Q778,The Bahamas,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,399440,,267,,2024-11-23T08:58:53Z,2023-01-01T00:00:00Z,North America
http://www.wikidata.org/entity/Q1009,Cameroon,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,28372687,,299,,2024-12-01T10:29:21Z,2023-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q1032,Niger,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,21477348,,290,,2024-12-01T10:29:32Z,2017-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q1036,Uganda,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,47123531,,299,,2024-12-01T10:29:34Z,2021-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q236,Montenegro,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,617213,,312,,2024-12-01T10:27:48Z,2022-01-01T00:00:00Z,Europe
http://www.wikidata.org/entity/Q750,Bolivia,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,12244159,,301,,2024-11-22T23:38:15Z,2023-01-01T00:00:00Z,South America
http://www.wikidata.org/entity/Q1013,Lesotho,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,2233339,,272,,2024-12-01T10:29:22Z,2017-01-01T00:00:00Z,Africa
http://www.wikidata.org/entity/Q252,Indonesia,Geography,http://www.wikidata.org/prop/direct/P1082,http://www.wikidata.org/prop/direct/P1082,275439000,,352,,2024-12-01T10:27:51Z,2021-01-01T00:00:00Z,Asia
