entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateModified,dateCreated
http://www.wikidata.org/entity/Q1687984,Mittagberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1452,metre,7,2024-11-24T18:12:44Z,
http://www.wikidata.org/entity/Q554414,Fellhorn,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2037,metre,12,2024-11-19T19:20:55Z,
http://www.wikidata.org/entity/Q6429630,Lawson Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,600,metre,8,2024-05-13T07:30:47Z,
http://www.wikidata.org/entity/Q1666850,Mount Torbert,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3434,metre,11,2024-01-23T21:51:25Z,
http://www.wikidata.org/entity/Q4927291,Blockkogel,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3097,metre,5,2024-09-19T13:06:45Z,
http://www.wikidata.org/entity/Q6430297,Mount Mayhew,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1200,metre,8,2023-12-24T21:03:26Z,
http://www.wikidata.org/entity/Q2238453,Schlappoltkopf,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1968,metre,8,2024-11-19T19:20:30Z,
http://www.wikidata.org/entity/Q721340,Asberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,430.2,metre,7,2024-08-26T09:45:34Z,
http://www.wikidata.org/entity/Q6919809,Mount Boyer,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1500,metre,9,2024-05-01T21:20:57Z,
http://www.wikidata.org/entity/Q245221,Zwölferkopf,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1491,metre,4,2024-11-25T19:17:38Z,
http://www.wikidata.org/entity/Q524471,"Murray Hill, Christmas Island",Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,361,metre,13,2024-04-14T10:21:21Z,
http://www.wikidata.org/entity/Q5316835,Duryusan,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1323,metre,2,2024-10-04T09:09:55Z,
http://www.wikidata.org/entity/Q524,Mount Vesuvius,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1281,metre,131,2024-11-27T10:43:11Z,
http://www.wikidata.org/entity/Q1019143,Bärenkopf,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1476,metre,8,2024-11-23T07:36:30Z,
http://www.wikidata.org/entity/Q1624072,Hohloh,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,988.8,metre,8,2024-07-16T13:05:59Z,
http://www.wikidata.org/entity/Q1916788,Meerberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,429.1,metre,5,2023-08-04T07:15:41Z,
http://www.wikidata.org/entity/Q2923663,Brana,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2259,metre,9,2023-08-04T08:21:10Z,
http://www.wikidata.org/entity/Q953984,Mammoth Mountain,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3371,metre,15,2024-11-28T00:58:30Z,
http://www.wikidata.org/entity/Q2309723,Spicherer Kopf,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1960,metre,4,2024-11-18T19:54:23Z,
http://www.wikidata.org/entity/Q155721,Brocken,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1141.2,metre,40,2024-11-10T07:31:27Z,
http://www.wikidata.org/entity/Q1957193,Mädelekopf,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1910,metre,4,2024-11-18T20:37:15Z,
http://www.wikidata.org/entity/Q831220,Sorgschrofen,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1635,metre,14,2024-11-01T09:50:36Z,
http://www.wikidata.org/entity/Q648438,Sa Talaiassa,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,487,metre,12,2024-05-28T01:51:36Z,
http://www.wikidata.org/entity/Q872031,Wildnörderer,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3011,metre,9,2024-07-10T08:15:32Z,
http://www.wikidata.org/entity/Q1235054,Ofterschwanger Horn,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1408,metre,8,2024-11-24T11:46:40Z,
http://www.wikidata.org/entity/Q713857,Mount Iwaki,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1624.7,metre,20,2024-06-20T22:57:13Z,
http://www.wikidata.org/entity/Q582244,Pinéa,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1771,metre,5,2024-06-07T10:15:33Z,
http://www.wikidata.org/entity/Q2838771,Gaalgebierg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,400.9,metre,5,2024-04-10T10:58:11Z,
http://www.wikidata.org/entity/Q1602221,Himmeleck,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2152,metre,7,2024-11-18T20:01:33Z,
http://www.wikidata.org/entity/Q1269347,Riedberger Horn,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1787,metre,8,2024-11-27T17:15:18Z,
http://www.wikidata.org/entity/Q1056741,Mount Terror,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3230,metre,36,2024-07-16T16:55:44Z,
http://www.wikidata.org/entity/Q352243,Chäserrugg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2260,metre,13,2023-08-04T23:53:22Z,
http://www.wikidata.org/entity/Q1778890,Xiuguluan Mountain,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3825,metre,13,2024-04-11T14:38:32Z,
http://www.wikidata.org/entity/Q6919647,Mount Bayonne,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1500,metre,9,2024-02-19T06:08:10Z,
http://www.wikidata.org/entity/Q474901,El Toro,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,349,metre,9,2024-11-23T14:15:25Z,
http://www.wikidata.org/entity/Q697907,Großvenediger,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3657,metre,33,2024-07-10T08:02:56Z,
http://www.wikidata.org/entity/Q1330376,Mount Bartle Frere,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1611,metre,14,2024-09-01T12:26:33Z,
http://www.wikidata.org/entity/Q214011,Kebnekaise,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2096.8,metre,53,2024-10-15T18:09:32Z,
http://www.wikidata.org/entity/Q6923930,Mount Suess,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1127,metre,10,2024-02-19T06:20:36Z,
http://www.wikidata.org/entity/Q4881340,Beinn Tulaichean,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,945.8,metre,8,2024-11-07T11:19:39Z,
http://www.wikidata.org/entity/Q6924104,Mount Thor,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3816,metre,6,2024-02-18T10:19:13Z,
http://www.wikidata.org/entity/Q6921351,Mount Huckle,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2500,metre,8,2023-08-04T11:40:51Z,
http://www.wikidata.org/entity/Q12043881,Partyzánský vrch,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,531,metre,5,2023-06-07T13:35:52Z,
http://www.wikidata.org/entity/Q22421801,Mount Christie,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3103,metre,5,2024-03-26T07:56:07Z,
http://www.wikidata.org/entity/Q20865254,Eichelberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,617,metre,1,2023-03-25T01:52:29Z,
http://www.wikidata.org/entity/Q6977037,Nørdre Kalvehølotinden,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2019,metre,7,2024-02-04T20:42:07Z,
http://www.wikidata.org/entity/Q6920619,Mount Ellis,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2330,metre,9,2024-11-20T07:47:30Z,
http://www.wikidata.org/entity/Q7539317,Slaveykov Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1760,metre,10,2024-07-10T11:49:44Z,
http://www.wikidata.org/entity/Q21880610,Steingrubenkopf,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3231,metre,5,2024-07-11T09:46:45Z,
http://www.wikidata.org/entity/Q7336190,Rising Wolf Mountain,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2901,metre,7,2024-02-05T06:38:55Z,
http://www.wikidata.org/entity/Q21000006,Kirschbühl,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,615,metre,1,2023-03-25T01:53:29Z,
http://www.wikidata.org/entity/Q5459603,Flints Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2950,metre,6,2023-12-16T15:31:50Z,
http://www.wikidata.org/entity/Q6919995,Mount Cardinall,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,680,metre,9,2024-07-10T11:29:34Z,
http://www.wikidata.org/entity/Q16893544,Knife Point Mountain,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3963,metre,6,2024-04-10T11:07:37Z,
http://www.wikidata.org/entity/Q6919878,Mount Brown,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2601,metre,6,2024-03-22T09:17:46Z,
http://www.wikidata.org/entity/Q22418809,Mount Brooke,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3290,metre,2,2023-12-16T17:29:02Z,
http://www.wikidata.org/entity/Q6859214,Miller Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2879,metre,8,2024-02-08T16:49:38Z,
http://www.wikidata.org/entity/Q21479475,Dunlop Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1330,metre,4,2021-03-12T06:54:15Z,
http://www.wikidata.org/entity/Q20865232,Spielberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,645,metre,2,2023-05-27T09:28:26Z,
http://www.wikidata.org/entity/Q12716678,MacDonald Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1940,metre,9,2024-07-10T12:28:09Z,
http://www.wikidata.org/entity/Q22554511,Mount St. Bride,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3315,metre,4,2024-10-28T22:48:55Z,
http://www.wikidata.org/entity/Q6921032,Mount Hale,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1234,metre,5,2024-01-23T22:02:44Z,
http://www.wikidata.org/entity/Q18029515,Weißes Beil,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2766,metre,5,2024-04-05T08:43:04Z,
http://www.wikidata.org/entity/Q22548009,Mount Milton,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2143,metre,2,2024-09-06T00:17:39Z,
http://www.wikidata.org/entity/Q10800150,Mount Kyffin,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1778,metre,10,2024-02-19T06:43:05Z,
http://www.wikidata.org/entity/Q6920485,Mount Douglas,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3440,metre,5,2023-12-17T04:54:13Z,
http://www.wikidata.org/entity/Q23787647,Heidenheimer Buck,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,578,metre,1,2023-03-25T02:43:13Z,
http://www.wikidata.org/entity/Q19375171,Høgoyggj,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,396,metre,4,2023-06-02T13:42:25Z,
http://www.wikidata.org/entity/Q7880592,Mount Boreas,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2400,metre,10,2024-02-23T13:42:41Z,
http://www.wikidata.org/entity/Q21858953,Medelspitze,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2669,metre,3,2024-02-01T21:14:27Z,
http://www.wikidata.org/entity/Q8522147,Mount Gould (Montana),Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2909,metre,6,2024-02-05T05:01:24Z,
http://www.wikidata.org/entity/Q21476395,Mount Alfred,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2250,metre,5,2023-12-24T21:25:16Z,
http://www.wikidata.org/entity/Q8521793,Mount Wilbur,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3138,metre,8,2024-01-06T07:02:17Z,
http://www.wikidata.org/entity/Q22395556,Alouette Mountain,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1361,metre,2,2024-10-27T17:12:12Z,
http://www.wikidata.org/entity/Q11943785,Puig del Torn,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,663.3,metre,3,2024-08-16T17:33:31Z,
http://www.wikidata.org/entity/Q11772036,Grúň,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2108.7,metre,6,2024-11-24T18:54:45Z,
http://www.wikidata.org/entity/Q7986579,West Stack,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,120,metre,6,2022-11-14T09:29:55Z,
http://www.wikidata.org/entity/Q22354873,Mont Proulx,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,256,metre,1,2024-01-16T15:31:33Z,
http://www.wikidata.org/entity/Q21868718,Kreuzspitze,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2937,metre,5,2024-09-10T07:47:07Z,
http://www.wikidata.org/entity/Q6818076,Merced Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3567,metre,7,2024-01-23T21:57:50Z,
http://www.wikidata.org/entity/Q20999849,Gemeindeberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,627,metre,1,2023-03-25T01:53:03Z,
http://www.wikidata.org/entity/Q11545926,Mount Hotaka,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2157.96,metre,6,2024-09-02T07:29:13Z,
http://www.wikidata.org/entity/Q6578747,Mount Zeppelin,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1265,metre,8,2024-05-31T17:57:55Z,
http://www.wikidata.org/entity/Q13125890,Beinn Tharsuinn,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,714,metre,3,2023-08-04T14:45:46Z,
http://www.wikidata.org/entity/Q11863118,Děvín in Moravia,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,550,metre,11,2024-10-29T10:12:25Z,
http://www.wikidata.org/entity/Q21861302,Hunerkogel,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2687,metre,3,2023-08-06T15:06:17Z,
http://www.wikidata.org/entity/Q17321651,Q17321651,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2257,metre,3,2024-07-11T09:31:07Z,
http://www.wikidata.org/entity/Q22415044,Mount Baldr,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2789,metre,2,2024-09-06T00:11:38Z,
http://www.wikidata.org/entity/Q124323446,Wolfsberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1002,metre,1,2024-11-17T19:39:15Z,
http://www.wikidata.org/entity/Q25383313,Mount Barnes,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,985,metre,5,2024-04-23T04:17:53Z,
http://www.wikidata.org/entity/Q49052811,Mount Giddings,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3103,metre,3,2024-05-22T10:20:16Z,
http://www.wikidata.org/entity/Q29015167,Travnik,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2374,metre,2,2024-04-14T12:11:40Z,
http://www.wikidata.org/entity/Q28457994,Mount Coleman,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3135,metre,5,2024-10-25T20:50:06Z,
http://www.wikidata.org/entity/Q64743976,Mount Parry,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1061,metre,0,2024-09-06T07:39:34Z,
http://www.wikidata.org/entity/Q130481186,Menelzhofer Berg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,798.7,metre,0,2024-11-17T15:40:52Z,
http://www.wikidata.org/entity/Q23985044,la Talaiassa,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,194,metre,1,2024-03-08T21:21:51Z,
http://www.wikidata.org/entity/Q31075332,Puig de l'Estelle,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1113,metre,2,2024-08-18T14:30:30Z,
http://www.wikidata.org/entity/Q48841541,Jurčová,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,670.27,metre,1,2024-07-24T06:18:12Z,
http://www.wikidata.org/entity/Q31515937,Walkenberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,952,metre,2,2024-11-17T19:34:43Z,
http://www.wikidata.org/entity/Q130481088,Kapf,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,804.6,metre,0,2024-11-17T15:39:40Z,
http://www.wikidata.org/entity/Q124767462,Q124767462,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,352,metre,1,2024-03-07T17:32:30Z,
http://www.wikidata.org/entity/Q124323455,Rangenberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,828.9,metre,1,2024-11-17T15:37:12Z,
http://www.wikidata.org/entity/Q31516285,Vorderer Hüttenberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1069,metre,1,2024-11-30T10:33:31Z,
http://www.wikidata.org/entity/Q28056260,Douglas Mountain,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1615,metre,3,2024-07-21T07:07:51Z,
http://www.wikidata.org/entity/Q67193330,Na Picamosques,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,172,metre,0,2024-11-06T14:29:03Z,
http://www.wikidata.org/entity/Q110948939,Südliche Malhamspitze,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,3326,metre,1,2022-02-24T05:06:00Z,
http://www.wikidata.org/entity/Q59617806,Mount Mullen,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2994,metre,1,2024-09-06T00:00:05Z,
http://www.wikidata.org/entity/Q25393498,Sentinel Peak,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2000,metre,4,2024-04-23T04:21:01Z,
http://www.wikidata.org/entity/Q130480140,Dürrer Bühl,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1077,metre,1,2024-11-17T19:42:38Z,
http://www.wikidata.org/entity/Q107619880,Mount Hobbs,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,825,metre,0,2023-11-15T22:21:50Z,
http://www.wikidata.org/entity/Q124323989,Hasenberg,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,830.5,metre,0,2024-11-17T15:36:19Z,
http://www.wikidata.org/entity/Q31669142,Saint Arnaud,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1683,metre,1,2024-06-16T01:22:18Z,
http://www.wikidata.org/entity/Q31686732,Makarora,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1271,metre,1,2024-05-29T22:32:03Z,
http://www.wikidata.org/entity/Q31691080,Junction,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,1380,metre,1,2024-06-15T02:22:19Z,
http://www.wikidata.org/entity/Q112845614,Steinkarspitze,Geography,http://www.wikidata.org/prop/direct/P2044,http://www.wikidata.org/prop/direct/P2044,2650,metre,1,2023-11-15T22:37:01Z,
