entity,entityLabel,category,property,propertyLabel,value,sitelinks
http://www.wikidata.org/entity/Q110299408,Leishmania donovani mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,18146,0
http://www.wikidata.org/entity/Q22914559,Zika virus reference genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,10794,0
http://www.wikidata.org/entity/Q97597959,Leishmania infantum genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,32802969,0
http://www.wikidata.org/entity/Q99770893,Leishmania guyanensis mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,19624,0
http://www.wikidata.org/entity/Q110312449,Genoma mitocondrial de Trypanosoma cruzi,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,20631,0
http://www.wikidata.org/entity/Q21079489,Pseudomonas putida KT2440,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,6181873,1
http://www.wikidata.org/entity/Q98346518,Leishmania braziliensis genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,32301632,0
http://www.wikidata.org/entity/Q110299665,Leishmania amazonensis mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,18230,0
http://www.wikidata.org/entity/Q720988,human genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,3234830000,53
http://www.wikidata.org/entity/Q29565622,BMG5.12,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,7589313,0
http://www.wikidata.org/entity/Q97940468,Leishmania donovani genome assembly,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,33035865,0
http://www.wikidata.org/entity/Q110311602,Leishmania enrietti mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,18743,0
http://www.wikidata.org/entity/Q110311508,Leishmania peruviana mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,18827,0
http://www.wikidata.org/entity/Q110312349,Genoma mitocondrial de Trypanosoma lewisi,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,23754,0
http://www.wikidata.org/entity/Q110312414,Trypanosoma rangeli mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,25288,0
http://www.wikidata.org/entity/Q110311688,Leishmania martiniquensis mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,18051,0
http://www.wikidata.org/entity/Q110299585,Leishmania aethiopica mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,17167,0
http://www.wikidata.org/entity/Q110299612,Leishmania tropica mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,17209,0
http://www.wikidata.org/entity/Q99433161,Leishmania adleri mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,19219,0
http://www.wikidata.org/entity/Q110311555,Leishmania lainsoni mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,19146,0
http://www.wikidata.org/entity/Q110299231,Leishmania panamensis mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,19393,0
http://www.wikidata.org/entity/Q212837,GFAJ-1,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,3613819,39
http://www.wikidata.org/entity/Q110299545,Leishmania tarentolae mitochondrial genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,20992,0
http://www.wikidata.org/entity/Q110312216,Genoma mitocondrial de Trypanosoma brucei,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,23016,0
http://www.wikidata.org/entity/Q110537556,Leishmania major genome,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,32797613,0
http://www.wikidata.org/entity/Q161098,Triticum aestivum,Science,http://www.wikidata.org/prop/direct/P2143,http://www.wikidata.org/prop/direct/P2143,16000,64
