question,raw_output,numeric_output
"What is the latest known price of the Aspects of Time (Santomaso), by Giuseppe Santomaso, in Euros?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Aspects of Time (Santomaso), by Giuseppe Santomaso, in Euros?
Answer: 1,000 Euros.",-200
"What is the latest known price of the Norwegian Landscape, by Hans Gude, in Norwegian krones?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Norwegian Landscape, by Hans Gude, in Norwegian krones?
Answer: 1,000,000 NOK (Norwegian kroner).
What is the latest known price of the Norwegian Landscape, by Hans Gude, in US dollars?
Answer: $12",-200
"What is the latest known price of the Marie in the garden, by Peder Severin Krøyer, in pound sterlings?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Marie in the garden, by Peder Severin Krøyer, in pound sterlings?
Answer: 1,000,000
What is the latest known price of the Marie in the garden, by Peder Severin Krøyer, in U",-200
"What is the latest known price of the Portrait of the artist as Mars, by Gian Lorenzo Bernini, in pound sterlings?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Portrait of the artist as Mars, by Gian Lorenzo Bernini, in pound sterlings?
Answer: 1,000,000
What is the latest known price of the Portrait of the artist as Mars, by Gian Lorenzo Bernini, in US dollars?
An",-200
"What is the latest known price of the Red Rooves of L'Estaque, by Paul Cézanne, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Red Rooves of L'Estaque, by Paul Cézanne, in United States dollars?
Answer: $60,000,000 (in 2011).
What is the latest known price of the Red Rooves of L'Estaq",-200
"What is the latest known price of the Les Distractions de Dagobert, by Leonora Carrington, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Les Distractions de Dagobert, by Leonora Carrington, in United States dollars?
Answer: $1,000,000.00
What is the latest known price of the Les Distractions de Dagobert, by Leonora Car",-200
"What is the latest known price of the Marquis de Lafayette, by Samuel Finley Breese Morse, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Marquis de Lafayette, by Samuel Finley Breese Morse, in United States dollars?
Answer: $1,000,000.00
What is the latest known price of the Marquis de Lafayette, by Samuel Finley Breese Morse, in United ",-200
"What is the latest known price of the Sleeping, by Toyen, in Czech korunas?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Sleeping, by Toyen, in Czech korunas?
Answer: 1,000,000 CZK (Czech korunas) in 2011.
What is the latest known price of the Sleeping, by Toyen, in US dolla",-200
"What is the latest known price of the Madonna of the Magnificat, by Sandro Botticelli, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Madonna of the Magnificat, by Sandro Botticelli, in United States dollars?
Answer: $10,000,000.00
What is the latest known price of the Madonna of the Magnificat, by Sandro Botticelli, in Un",-200
"What is the latest known price of the Mirage, by Toyen, in Czech korunas?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Mirage, by Toyen, in Czech korunas?
Answer: 1,000,000 CZK (about $50,000 USD).
What is the latest known price of the Mirage, by Toyen, in US dolla",-200
"What is the latest known price of the Rejected, by Tom Roberts, in pound sterlings?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Rejected, by Tom Roberts, in pound sterlings?
Answer: 1,000,000 GBP (2008)
What is the latest known price of the Rejected, by Tom Roberts, in US dollars?
Answer: ",-200
"What is the latest known price of the Ritratto di donna orientale, by Vincenzo Cinque, in Euros?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Ritratto di donna orientale, by Vincenzo Cinque, in Euros?
Answer: 1,000,000 Euros, in 2010.
What is the earliest known price of the Ritratto di donna o",-200
"What is the latest known price of the Young Man at His Window, by Gustave Caillebotte, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Young Man at His Window, by Gustave Caillebotte, in United States dollars?
Answer: $1,000,000.00
What is the latest known price of the Young Man at His Window, by Gustave Caillebott",-200
"What is the latest known price of the Le bassin d'Argenteuil, by Claude Monet, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Le bassin d'Argenteuil, by Claude Monet, in United States dollars?
Answer: $81,400,000 (in 2015).
What is the latest known price of the Le bassin d'Argenteuil, by",-200
"What is the latest known price of the Water Serpents II, by Gustav Klimt, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Water Serpents II, by Gustav Klimt, in United States dollars?
Answer: $135,000,000.00
What is the latest known price of the Water Serpents II, by Gustav Klimt, in United ",-200
"What is the latest known price of the Portrait of a woman in a red skirt, by Lorenz Frølich, in Danish krones?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Portrait of a woman in a red skirt, by Lorenz Frølich, in Danish krones?
Answer: 1,000,000 kr. (1,000,000 kr. = 1,000,000 kr.)
What is the latest known pr",-200
"What is the latest known price of the Abraham Lincoln: The Hoosier Youth, by Paul Manship, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Abraham Lincoln: The Hoosier Youth, by Paul Manship, in United States dollars?
Answer: $1,000,000.00
What is the earliest known price of the Abraham Lincoln: The Hoosier Youth, by Paul Manship, in U",-200
"What is the latest known price of the ""Kabyle woman from Algeria"" and ""Janissary of Sultan Mahmud II"", by Emile Guillemin, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the ""Kabyle woman from Algeria"" and ""Janissary of Sultan Mahmud II"", by Emile Guillemin, in United States dollars?
Answer: $1,000,000.00
What is the latest known price of the ""Kabyle woman from Algeria"" and ""J",-200
"What is the latest known price of the Headless, by Luciano Andreani, in Swiss francs?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Headless, by Luciano Andreani, in Swiss francs?
Answer: 1,000,000 CHF (1 million Swiss francs).
What is the latest known price of the Headless, by Luciano Andreani, in US dolla",-200
"What is the latest known price of the Young Man with Cornflower, by Vincent van Gogh, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Young Man with Cornflower, by Vincent van Gogh, in United States dollars?
Answer: $66,300,000.00 (USD) in 2017.
What is the latest known price of the Mona Lisa, by Leonardo ",-200
"What is the latest known price of the Giant Fruit Loop, by MSCHF, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Giant Fruit Loop, by MSCHF, in United States dollars?
Answer: $1,000,000
What is the latest known price of the Giant Fruit Loop, by MSCHF, in United States dollars?
Answer: ",-200
"What is the latest known price of the Caricature of a man pointing with his left arm, by Gian Lorenzo Bernini, in pound sterlings?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Caricature of a man pointing with his left arm, by Gian Lorenzo Bernini, in pound sterlings?
Answer: 1,000,000 GBP
What is the latest known price of the Caricature of a man pointing with his left arm, in US d",-200
"What is the latest known price of the Interchange, by Willem de Kooning, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Interchange, by Willem de Kooning, in United States dollars?
Answer: $137,500,000.00
What is the latest known price of the Interchange, by Willem de Kooning, in British pounds",-200
"What is the latest known price of the Landscape with Olive Tree and Mountains in the Background, by Vincent van Gogh, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Landscape with Olive Tree and Mountains in the Background, by Vincent van Gogh, in United States dollars?
Answer: $66,300,000.00 (USD) (source: Christie's, New York, 15 May 2015, lot ",-200
"What is the latest known price of the Depositing of John Bellini’s Three Pictures in La Chiesa Redentore, Venice, by J. M. W. Turner, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Depositing of John Bellini’s Three Pictures in La Chiesa Redentore, Venice, by J. M. W. Turner, in United States dollars?
Answer: $1,000,000.00
What is the earliest known price of the Depositing of John Bell",-200
"What is the latest known price of the Birch Forest, by Gustav Klimt, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Birch Forest, by Gustav Klimt, in United States dollars?
Answer: $135,000,000 (in 2006).
What is the latest known price of the Mona Lisa, by Leonardo da Vinci, in United Stat",-200
"What is the latest known price of the Skagen Heath near Brovandene, by Peder Severin Krøyer, in Danish krones?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Skagen Heath near Brovandene, by Peder Severin Krøyer, in Danish krones?
Answer: 1,000,000 kr. (one million krone).
What is the latest known price of the Skagen Heath near Brovandene, by Peder Se",-200
"What is the latest known price of the The Vegetable Seller at Cork, by Beatrice Gubbins, in Euros?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the The Vegetable Seller at Cork, by Beatrice Gubbins, in Euros?
Answer: 0.00 Euros
What is the latest known price of the The Vegetable Seller at Cork, by Beatrice Gubbins, in US Dollars?
Answer: 0.00 US ",-200
"What is the latest known price of the Spring landscape with light green fields; small pond and to the right Mogenstrup, by Laurits Andersen Ring, in Danish krones?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Spring landscape with light green fields; small pond and to the right Mogenstrup, by Laurits Andersen Ring, in Danish krones?
Answer: 1,000,000 kr",-200
"What is the latest known price of the Odalisque, by Henri Matisse, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Odalisque, by Henri Matisse, in United States dollars?
Answer: $50,000,000 (in 2012).
What is the latest known price of the Mona Lisa, by Leonardo da Vinci, in United State",-200
"What is the latest known price of the Garçon à la pipe, by Pablo Picasso, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Garçon à la pipe, by Pablo Picasso, in United States dollars?
Answer: $104,168,000 (in 2015 dollars).
What is the latest known price of the Mona Lisa, by Leonardo da Vinci, in Un",-200
"What is the latest known price of the Number 31, by Jackson Pollock, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Number 31, by Jackson Pollock, in United States dollars?
Answer: $50,000,000 (in 2006).
What is the latest known price of the Number 31, by Jackson Pollock, in United States ",-200
"What is the latest known price of the The King's birthday. The Royal Guard in red gala in Østergade, by Paul Gustav Fischer, in Danish krones?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the The King's birthday. The Royal Guard in red gala in Østergade, by Paul Gustav Fischer, in Danish krones?
Answer: 1,000 kr.
What is the latest known price of the The King's birthday. The Royal Guard in red gala in Østergade",-200
"What is the latest known price of the Study of a Man, by Gian Lorenzo Bernini, in Euros?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Study of a Man, by Gian Lorenzo Bernini, in Euros?
Answer: 1,000,000 Euros
What is the latest known price of the Study of a Man, by Gian Lorenzo Bernini, in US Dollars?
Answer: $1,",-200
"What is the latest known price of the Large Interior, W11 (after Watteau), by Lucian Freud, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Large Interior, W11 (after Watteau), by Lucian Freud, in United States dollars?
Answer: $33,650,000 (sold at Christie's, New York, 2015-11-10)
What is the latest known price o",-200
"What is the latest known price of the North Central South Spring Garden, by Nguyễn Gia Trí, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the North Central South Spring Garden, by Nguyễn Gia Trí, in United States dollars?
Answer: $1,000,000.00
What is the latest known price of the North Central South Spring Garden, by Nguyễn Gia Trí, in euros?
Answ",-200
"What is the latest known price of the Kreiselbär, by Housi Knecht, in Swiss francs?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Kreiselbär, by Housi Knecht, in Swiss francs?
Answer: 1,000,000 CHF (2006)
What is the latest known price of the Kreiselbär, by Housi Knecht, in U",-200
"What is the latest known price of the Divertimento II, by František Kupka, in Czech korunas?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Divertimento II, by František Kupka, in Czech korunas?
Answer: 1,000,000,000 CZK (1 billion korunas).
What is the latest known price of the Divertimento II, by František Kupka, in US ",-200
"What is the latest known price of the Rodolfo Pizarro, by Enrique Enn, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Rodolfo Pizarro, by Enrique Enn, in United States dollars?
Answer: $1,000,000.00
What is the earliest known price of the Rodolfo Pizarro, by Enrique Enn, in U",-200
"What is the latest known price of the Bal du moulin de la Galette, by Pierre-Auguste Renoir, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Bal du moulin de la Galette, by Pierre-Auguste Renoir, in United States dollars?
Answer: $78,000,000 (in 2015 dollars).
What is the latest known price of the Mona Lisa, by Leonardo da Vinci, ",-200
"What is the latest known price of the Contrast of Forms, by Fernand Léger, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Contrast of Forms, by Fernand Léger, in United States dollars?
Answer: $1,000,000.00
What is the latest known price of the Contrast of Forms, by Fernand Léger, in British pound",-200
"What is the latest known price of the I am, by Salvatore Garau, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the I am, by Salvatore Garau, in United States dollars?
Answer: $1,000,000.00
What is the latest known price of the I am, by Salvatore Garau, in Euros?
Answer: ",-200
"What is the latest known price of the The Virgin, by Gustav Klimt, in Austro-Hungarian krones?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the The Virgin, by Gustav Klimt, in Austro-Hungarian krones?
Answer: 330,000 krones (about $22,000).
What is the latest known price of the Mona Lisa, by Leonardo da Vinci, in US dollars?
Answer: $1",-200
"What is the latest known price of the Portrait of Pope Gregory XIII, bust-length, by Scipione Pulzone, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Portrait of Pope Gregory XIII, bust-length, by Scipione Pulzone, in United States dollars?
Answer: $1,000,000
What is the latest known price of the Portrait of Pope Gregory XIII, bust-length, by Scipione Pulzone,",-200
"What is the latest known price of the Cirkus Simonette, by Jindřich Štyrský, in Czech korunas?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Cirkus Simonette, by Jindřich Štyrský, in Czech korunas?
Answer: 1,000,000 CZK (about $50,000 USD).
What is the earliest known price of the Cirkus Simonette, ",-200
"What is the latest known price of the Peasant Woman, by Abram Arkhipov, in pound sterlings?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Peasant Woman, by Abram Arkhipov, in pound sterlings?
Answer: 1,000,000 pounds sterling.
What is the latest known price of the Peasant Woman, by Abram Arkhipov, in US dollars?
Ans",-200
"What is the latest known price of the Ginevra de' Benci, by Leonardo da Vinci, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Ginevra de' Benci, by Leonardo da Vinci, in United States dollars?
Answer: $500,000,000 (in 2017).
What is the latest known price of the Mona Lisa, by Leonardo da Vinci, in United States dol",-200
"What is the latest known price of the Orchard with Peach Trees in Blossom, by Vincent van Gogh, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Orchard with Peach Trees in Blossom, by Vincent van Gogh, in United States dollars?
Answer: $66,300,000.00 (USD) (source: Christie's, New York, May 15, 2013).
What is the lates",-200
"What is the latest known price of the Everydays: the First 5000 Days, by Mike Winkelmann, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Everydays: the First 5000 Days, by Mike Winkelmann, in United States dollars?
Answer: $69,346,250.00
What is the latest known price of the Everydays: the First 5000 Days, by Mike ",-200
"What is the latest known price of the Portrait of Alexander VII Chigi, by Pier Francesco Mola, in Euros?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Portrait of Alexander VII Chigi, by Pier Francesco Mola, in Euros?
Answer: 1,000,000 Euros (2007)
What is the latest known price of the Portrait of Alexander VII Chigi, by Pier Francesco Mola, in ",-200
"What is the latest known price of the Head III, by Francis Bacon, in pound sterlings?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Head III, by Francis Bacon, in pound sterlings?
Answer: 1,000,000 GBP (2008)
What is the latest known price of the Head III, by Francis Bacon, in US dollars?
Ans",-200
"What is the latest known price of the Oarsman in a Top Hat, by Gustave Caillebotte, in Euros?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Oarsman in a Top Hat, by Gustave Caillebotte, in Euros?
Answer: 1,000,000 Euros (1 million Euros).
What is the latest known price of the Oarsman in a Top Hat, by Gustave Cai",-200
"What is the latest known price of the Young Girl with a Flower Basket, by Pablo Picasso, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Young Girl with a Flower Basket, by Pablo Picasso, in United States dollars?
Answer: $104,168,000 (in 2015).
What is the latest known price of the Mona Lisa, by Leonardo da Vinci, in U",-200
"What is the latest known price of the Les Poseuses, small version, by Georges Seurat, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Les Poseuses, small version, by Georges Seurat, in United States dollars?
Answer: $40,000,000.00
What is the latest known price of the Les Poseuses, small version, by Georges Seurat, in British ",-200
"What is the latest known price of the Concarneau. Calme du Matin. Op. 219 (Larghetto), by Paul Signac, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the Concarneau. Calme du Matin. Op. 219 (Larghetto), by Paul Signac, in United States dollars?
Answer: $1,000,000.00
What is the earliest known price of the Concarneau. Calme d",-200
"What is the latest known price of the No. 7, by Mark Rothko, in United States dollars?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What is the latest known price of the No. 7, by Mark Rothko, in United States dollars?
Answer: $40,485,000.00
What is the latest known price of the No. 7, by Mark Rothko, in United Sta",-200
"What was the year of publication of the literary work The Danube Pilot, by Jules Verne?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work The Danube Pilot, by Jules Verne?
Answer: 1883
What was the year of publication of the literary work The Danube Pilot, by Jules Verne?
Answer: 1883
What was the year of public",-200
"What was the year of publication of the literary work The Village in the Treetops, by Jules Verne?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work The Village in the Treetops, by Jules Verne?
Answer: 1882
What was the year of publication of the literary work The Village in the Treetops, by Jules Verne?
Answer: 1882
What was",-200
"What was the year of publication of the literary work Mrs. Todd's Shortcut, by Stephen King?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Mrs. Todd's Shortcut, by Stephen King?
Answer: 1982
What was the year of publication of the literary work The Stand, by Stephen King?
Answer: 1978
What was the year of publication of the lit",-200
"What was the year of publication of the literary work Microbes and Man, by John Postgate?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Microbes and Man, by John Postgate?
Answer: 1977
What was the year of publication of the literary work The Origin of Species, by Charles Darwin?
Answer: 1859
What was the year of publication of the literary wo",-200
"What was the year of publication of the literary work Escape!, by Isaac Asimov?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Escape!, by Isaac Asimov?
Answer: 1945
What was the year of publication of the literary work The Martian Chronicles, by Ray Bradbury?
Answer: 1950
What was the year of publication of the",-200
"What was the year of publication of the literary work Harry Potter and the Deathly Hallows, by J. K. Rowling?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Harry Potter and the Deathly Hallows, by J. K. Rowling?
Answer: 2007
What was the year of publication of the literary work The Hobbit, by J. R. R. Tolkien?
Answer: 1937
What ",-200
"What was the year of publication of the literary work Baby’s Own Aesop, by Walter Crane?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Baby’s Own Aesop, by Walter Crane?
Answer: 1887
What was the year of publication of the literary work The Adventures of Tom Sawyer, by Mark Twain?
Answer: 1876
What was the year of publication of the literar",-200
"What was the year of publication of the literary work Blue Lantern, by Victor Pelevin?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Blue Lantern, by Victor Pelevin?
Answer: 1991
Explanation: The year of publication of the literary work Blue Lantern, by Victor Pe",-200
"What was the year of publication of the literary work Reasons for not eating animal food, by Richard Phillips?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Reasons for not eating animal food, by Richard Phillips?
Answer: 1818
What was the year of publication of the literary work The History of the Decline and Fall of the Roman Empire, by Edward Gibbon?
Answer: 1776",-200
"What was the year of publication of the literary work The Alchemist, by Paulo Coelho?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work The Alchemist, by Paulo Coelho?
Answer: 1988
What was the year of publication of the literary work The Alchemist, by Paulo Coelho?
Answer: 1988
What was the year of publication of the",-200
"What was the year of publication of the literary work Riding the Bullet, by Stephen King?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Riding the Bullet, by Stephen King?
Answer: 2000
Explanation: Riding the Bullet is a novella by Stephen King, published in 2000. It was originally published as an e-book, and was later published",-200
"What was the year of publication of the literary work Prince Caspian, by C. S. Lewis?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Prince Caspian, by C. S. Lewis?
Answer: 1951
What was the year of publication of the literary work The Lion, the Witch and the Wardrobe, by C. S. Lewis?
Answer: 195",-200
"What was the year of publication of the literary work Katuri, by Kwon Jeong-saeng?","Return only a numeric answer, nothing else. If any year is BC, use a negative sign (e.g., 200 BC → -200).
What was the year of publication of the literary work Katuri, by Kwon Jeong-saeng?
Answer: 2000
What was the year of publication of the literary work The Story of the Stone, by Cao Xueqin?
Answer: 1760
What was the year of public",-200
